id,name,category,quantity,price,inventory_value,stock_status,created_at,updated_at
19,Coil Spring,Suspension,14,59.99,839.86,In Stock,2026-08-04 14:05:38.037725,2026-08-04 14:05:38.037729
20,Control Arm,Suspension,7,94.99,664.93,Low Stock,2026-08-04 14:05:53.098767,2026-08-04 14:05:53.098771
21,Wheel Bearing Kit,Suspension,13,49.99,649.87,In Stock,2026-08-04 14:06:25.331155,2026-08-04 14:06:25.331159
22,Car Battery 70Ah,Electrical,9,129.99,1169.91,Low Stock,2026-08-04 14:06:43.630316,2026-08-04 14:06:43.630319
23,Alternator,Electrical,5,219.99,1099.95,Low Stock,2026-08-04 14:07:04.384185,2026-08-04 14:07:04.384189
24,Starter Motor,Electrical,6,184.99,1109.94,Low Stock,2026-08-04 14:07:18.934493,2026-08-04 14:07:18.934498
25,Headlight Bulb H7,Electrical,50,8.99,449.5,In Stock,2026-08-04 14:07:46.149274,2026-08-04 14:07:46.149279
26,LED Rear Light Unit,Electrical,8,94.99,759.92,Low Stock,2026-08-04 14:08:04.606785,2026-08-04 14:08:04.606789
27,Wiper Blade Set,Exterior,32,21.99,703.68,In Stock,2026-08-04 14:08:37.787594,2026-08-04 14:08:37.787598
28,Wing Mirror Assembly,Exterior,7,149.99,1049.93,Low Stock,2026-08-04 14:08:53.545213,2026-08-04 14:08:53.545216
29,Front Bumper,Exterior,0,279.99,0,Out of Stock,2026-08-04 14:09:13.332473,2026-08-04 14:09:13.332477
30,Rear Bumper,Exterior,4,269.99,1079.96,Low Stock,2026-08-04 14:09:26.976917,2026-08-04 14:09:26.976921
31,Bonnet Gas Strut,Exterior,18,24.99,449.82,In Stock,2026-08-04 14:09:44.067934,2026-08-04 14:09:44.067939
32,Cabin Air Filter,Interior,26,16.99,441.73999999999995,In Stock,2026-08-04 14:10:00.55737,2026-08-04 14:10:00.557372
33,Steering Wheel Cover,Interior,21,14.99,314.79,In Stock,2026-08-04 14:10:18.312694,2026-08-04 14:10:18.312699
34,Floor Mat Set,Interior,19,39.99,759.8100000000001,In Stock,2026-08-04 14:10:32.55571,2026-08-04 14:10:32.555715
35,Gear Knob,Interior,11,27.99,307.89,In Stock,2026-08-04 14:10:47.429523,2026-08-04 14:10:47.429526
36,Dashboard Phone Mount,Interior,35,17.99,629.65,In Stock,2026-08-04 14:11:03.802093,2026-08-04 14:11:03.802096
37,Engine Coolant 5L,Fluids,28,15.99,447.72,In Stock,2026-08-04 14:11:18.130455,2026-08-04 14:11:18.130459
38,Engine Oil 5W-30 5L,Fluids,34,36.99,1257.66,In Stock,2026-08-04 14:11:34.03502,2026-08-04 14:11:34.035024
39,Transmission Fluid 1L,Fluids,17,22.99,390.83,In Stock,2026-08-04 14:11:50.660091,2026-08-04 14:11:50.660095
40,Power Steering Fluid,Fluids,14,13.99,195.86,In Stock,2026-08-04 14:12:05.149128,2026-08-04 14:12:05.149132
41,Windscreen Washer Fluid,Fluids,42,6.99,293.58,In Stock,2026-08-04 14:12:24.739352,2026-08-04 14:12:24.739356
42,"Alloy Wheel 18""",Wheels,8,189.99,1519.92,Low Stock,2026-08-04 14:12:44.448571,2026-08-04 14:12:44.448576
43,Tyre 225/45 R17,Wheels,24,109.99,2639.7599999999998,In Stock,2026-08-04 14:12:59.688624,2026-08-04 14:12:59.688628
44,Wheel Nut Set,Wheels,40,18.99,759.5999999999999,In Stock,2026-08-04 14:13:16.36943,2026-08-04 14:13:16.369434
45,TMPS Sensor,Wheels,15,44.99,674.85,In Stock,2026-08-04 14:13:28.085917,2026-08-04 14:13:28.085923
46,OBD-II Scanner,Tools,5,129.99,649.95,Low Stock,2026-08-04 14:13:48.065373,2026-08-04 14:13:48.065377
47,Hydraulic Jack 2T,Tools,4,89.99,359.96,Low Stock,2026-08-04 14:14:01.614867,2026-08-04 14:14:01.614871
48,Torque Wrench,Tools,9,74.99,674.91,Low Stock,2026-08-04 14:14:12.745682,2026-08-04 14:14:12.745685
